"Ajar_GrosCalin.1974" "Ajar_LangoisseDuRoiSalomon.1979" "Ajar_LaVieDevantSoi.1975" "Ajar_Pseudo.1976" "Bogat_LesTêtesDeStphanie.1974" "Gary_Au-DelàDeCetteLimite.1975" "Gary_LaPromesseDlAube.1960" "Gary_LeGrandVestiaire.1949" "Gary_LesClownsLyriques.1979" "Gary_LesEnchanteurs.1973" "Gary_LesRacinesDuCiel.1956" "Grainville_LaDianeRousse.1978" "Grainville_LesFlamboyants.1976" "SchwarzBart_LaMulatresse-Solitude.1972" "SchwarzBart_LeDernierDesJustes.1959" "Sinibaldi_LHommeLaColombe.1958" "Vailland_LaLoi.1957" "Vailland_LesMauvaisCoups.1948"
"de" 3.58380628074158 2.61691041949737 2.32949418008841 3.59577863204468 4.27666105555005 3.95627453634764 4.31770892777188 3.19230682306145 4.05580600489113 4.63193338641189 4.13726008446601 5.19987000324992 5.17814303313233 4.77716650683894 4.25554583158936 4.03664669008748 4.39390997452971 3.36684469577966
"et" 2.50170261066969 2.63081877413902 3.04226127655669 2.26662798288243 2.62600257451233 2.50947610667389 2.78570362501427 2.09957737247723 2.53101152066944 2.74930334394904 2.16394954533441 2.52221955320682 2.89097451857615 2.788573159037 2.22898672044443 2.65206309843632 1.63672289927244 1.88763221279715
"la" 1.75104048429815 1.75994179888519 1.52954312546842 1.76434322187568 2.43291414991583 2.07966698253689 2.28001018410402 2.23404976608584 2.48681457909779 2.47727574309979 2.13639405476232 3.10437891226632 2.27257991311677 3.04850350779791 2.62242684829344 2.35585864848109 3.38880449556269 2.85370195832024
"le" 1.56942867953084 1.50852154190159 1.5111886079628 1.7407702908537 2.18833547876027 1.38588060105591 1.80592258325066 2.30976111374782 2.03600577506703 1.81379378980892 1.84396844052794 2.33146345254412 2.36173247746872 1.72109221218392 2.17571629694456 2.32830474615967 2.67951983370073 2.34055922086082
"à" 2.14150586454786 1.65402432892189 1.55554535860139 2.02908537027635 1.97049212793346 1.74800324895086 2.30547044414985 1.54699753655615 1.94761189192375 2.0692343418259 1.97837175168566 1.34942278616948 1.54477079686183 1.91036188361177 1.80662836269548 1.85299993111524 2.14270213470698 1.83788878416588
"il" 1.69353007945516 2.25315345194663 1.93793113996849 1.82055559585116 1.73185463907318 1.72431298226614 0.937639921687752 2.59791624290912 2.68864727894163 1.48205281316348 2.62002103214995 0.576507326447274 1.25218829021591 0.739413516378136 1.97024466344507 1.72900737066887 2.41682181078889 2.19394701015813
"les" 1.26522890654559 1.0762926745766 1.26187307851145 1.21853920359759 1.6486780869393 1.10498172465141 1.34675996242417 1.42495536420548 1.35537287486373 1.80218285562633 1.80629052484774 2.36537564821749 2.44521169681644 2.3040428001817 1.4793957611963 2.05276572294551 2.02163261110413 1.72531155094774
"l" 1.55883465758608 1.14262482748291 1.0125575490601 1.43069558279539 1.94177641350629 1.41803167727088 1.48459654267227 1.17974099938979 1.73104687822269 1.57908704883227 1.61002794914044 1.67865368583177 1.62825001620956 1.67566749104124 1.65518815874586 1.82544602879383 1.86744029330805 1.79338150591685
"un" 1.41354521377223 1.34590077993773 1.40259104605454 1.36904330166099 1.61204079611843 1.57540273453364 1.59170522286507 1.83741270594617 1.57930404549339 1.31535297239915 1.47168813932956 1.51757075638326 1.17195098229916 1.47630343713723 1.60267874129599 1.47413377419577 1.20498440944342 1.36663524976437
"d" 1.22587968217934 0.771378745894361 0.671469432080637 1.2529919489374 1.4397465095554 1.36388249627724 1.36256288245261 0.936786674802812 1.37747134564955 1.42731555201699 1.30523048199614 1.65039352277063 1.45318679893665 1.49901579770858 1.44286747079639 1.16759661087001 1.19470492159035 1.12315425699026
