Source,Target,Weight,Type
Arriaga,Assis_1,3,undirected
Arriaga,Junqueiro_1,2,undirected
Arriaga,Leal_1,1,undirected
Assis_1,Arriaga,3,undirected
Assis_1,Assis_2,6,undirected
Assis_1,Drummond_1,1,undirected
Assis_1,Espanca,2,undirected
Assis_1,Feijó,2,undirected
Assis_1,Junqueiro_1,2,undirected
Assis_1,Leal_1,1,undirected
Assis_1,Nobre_1,1,undirected
Assis_2,Assis_1,6,undirected
Assis_2,Feijó,3,undirected
Assis_2,Junqueiro_1,4,undirected
Assis_2,Junqueiro_2,2,undirected
Assis_2,Leal_1,3,undirected
Assis_2,Leal_2,1,undirected
Caeiro_1,Caeiro_2,6,undirected
Caeiro_1,Campos_1,3,undirected
Caeiro_1,Campos_2,2,undirected
Caeiro_1,Campos_3,1,undirected
Caeiro_1,Reis_1,2,undirected
Caeiro_2,Caeiro_1,6,undirected
Caeiro_2,Campos_1,2,undirected
Caeiro_2,Pessoa_2,1,undirected
Campos_1,Caeiro_1,3,undirected
Campos_1,Caeiro_2,2,undirected
Campos_1,Campos_2,6,undirected
Campos_1,Campos_3,5,undirected
Campos_1,Drummond_2,2,undirected
Campos_1,Reis_1,1,undirected
Campos_2,Caeiro_1,2,undirected
Campos_2,Campos_1,6,undirected
Campos_2,Campos_3,4,undirected
Campos_2,Reis_1,3,undirected
Campos_3,Caeiro_1,1,undirected
Campos_3,Campos_1,5,undirected
Campos_3,Campos_2,4,undirected
Campos_3,Espanca,1,undirected
Drummond_1,Assis_1,1,undirected
Drummond_1,Drummond_2,6,undirected
Drummond_1,Feijó,2,undirected
Drummond_2,Campos_1,2,undirected
Drummond_2,Drummond_1,6,undirected
Drummond_2,Feijó,1,undirected
Espanca,Assis_1,2,undirected
Espanca,Campos_3,1,undirected
Espanca,Nobre_1,3,undirected
Feijó,Assis_1,2,undirected
Feijó,Assis_2,3,undirected
Feijó,Drummond_1,2,undirected
Feijó,Drummond_2,1,undirected
Feijó,Leal_1,1,undirected
Junqueiro_1,Arriaga,2,undirected
Junqueiro_1,Assis_1,2,undirected
Junqueiro_1,Assis_2,4,undirected
Junqueiro_1,Junqueiro_2,6,undirected
Junqueiro_1,Leal_1,2,undirected
Junqueiro_2,Assis_2,2,undirected
Junqueiro_2,Junqueiro_1,6,undirected
Junqueiro_2,Leal_1,1,undirected
Junqueiro_2,Nobre_2,1,undirected
Leal_1,Arriaga,1,undirected
Leal_1,Assis_1,1,undirected
Leal_1,Assis_2,3,undirected
Leal_1,Feijó,1,undirected
Leal_1,Junqueiro_1,2,undirected
Leal_1,Junqueiro_2,1,undirected
Leal_1,Leal_2,6,undirected
Leal_2,Assis_2,1,undirected
Leal_2,Leal_1,6,undirected
Leal_2,Nobre_1,2,undirected
Leal_2,Nobre_2,4,undirected
Nobre_1,Assis_1,1,undirected
Nobre_1,Espanca,3,undirected
Nobre_1,Leal_2,2,undirected
Nobre_1,Nobre_2,6,undirected
Nobre_2,Junqueiro_2,1,undirected
Nobre_2,Leal_2,4,undirected
Nobre_2,Nobre_1,6,undirected
Pessoa_1,Pessoa_2,6,undirected
Pessoa_1,Pessoa_3,2,undirected
Pessoa_1,Pessoa_4,4,undirected
Pessoa_2,Caeiro_2,1,undirected
Pessoa_2,Pessoa_1,6,undirected
Pessoa_2,Pessoa_3,4,undirected
Pessoa_2,Pessoa_4,2,undirected
Pessoa_3,Pessoa_1,2,undirected
Pessoa_3,Pessoa_2,4,undirected
Pessoa_3,Pessoa_4,6,undirected
Pessoa_4,Pessoa_1,4,undirected
Pessoa_4,Pessoa_2,2,undirected
Pessoa_4,Pessoa_3,6,undirected
Reis_1,Caeiro_1,2,undirected
Reis_1,Campos_1,1,undirected
Reis_1,Campos_2,3,undirected
