"Ajar_GrosCalin.1974" "Ajar_LangoisseDuRoiSalomon.1979" "Ajar_LaVieDevantSoi.1975" "Ajar_Pseudo.1976" "Bogat_LesTêtesDeStphanie.1974" "Gary_Au-DelàDeCetteLimite.1975" "Gary_LaPromesseDlAube.1960" "Gary_LeGrandVestiaire.1949" "Gary_LesClownsLyriques.1979" "Gary_LesEnchanteurs.1973" "Gary_LesRacinesDuCiel.1956" "Sinibaldi_LHommeLaColombe.1958"
"de" 3.58380628074158 2.61691041949737 2.32949418008841 3.59577863204468 4.27666105555005 3.95627453634764 4.31770892777188 3.19230682306145 4.05580600489113 4.63193338641189 4.13726008446601 4.03664669008748
"et" 2.50170261066969 2.63081877413902 3.04226127655669 2.26662798288243 2.62600257451233 2.50947610667389 2.78570362501427 2.09957737247723 2.53101152066944 2.74930334394904 2.16394954533441 2.65206309843632
"la" 1.75104048429815 1.75994179888519 1.52954312546842 1.76434322187568 2.43291414991583 2.07966698253689 2.28001018410402 2.23404976608584 2.48681457909779 2.47727574309979 2.13639405476232 2.35585864848109
"il" 1.69353007945516 2.25315345194663 1.93793113996849 1.82055559585116 1.73185463907318 1.72431298226614 0.937639921687752 2.59791624290912 2.68864727894163 1.48205281316348 2.62002103214995 1.72900737066887
"à" 2.14150586454786 1.65402432892189 1.55554535860139 2.02908537027635 1.97049212793346 1.74800324895086 2.30547044414985 1.54699753655615 1.94761189192375 2.0692343418259 1.97837175168566 1.85299993111524
"le" 1.56942867953084 1.50852154190159 1.5111886079628 1.7407702908537 2.18833547876027 1.38588060105591 1.80592258325066 2.30976111374782 2.03600577506703 1.81379378980892 1.84396844052794 2.32830474615967
"je" 2.67574725690503 1.92684205458494 1.90581073433365 2.19409588743019 0.59906921477374 2.49932313523758 2.34673362422412 2.37756232060931 0.729249535932114 1.24983412951168 0.918891257036491 0.523524144106909
"un" 1.41354521377223 1.34590077993773 1.40259104605454 1.36904330166099 1.61204079611843 1.57540273453364 1.59170522286507 1.83741270594617 1.57930404549339 1.31535297239915 1.47168813932956 1.47413377419577
"l" 1.55883465758608 1.14262482748291 1.0125575490601 1.43069558279539 1.94177641350629 1.41803167727088 1.48459654267227 1.17974099938979 1.73104687822269 1.57908704883227 1.61002794914044 1.82544602879383
"les" 1.26522890654559 1.0762926745766 1.26187307851145 1.21853920359759 1.6486780869393 1.10498172465141 1.34675996242417 1.42495536420548 1.35537287486373 1.80218285562633 1.80629052484774 2.05276572294551
